,PRCP,TMAX,IS_STORM
33,0.31,74,0.0
34,0.67,80,1.0
35,0.13,74,0.0
36,0.0,81,0.0
37,0.55,70,1.0
38,2.34,69,1.0
86,0.25,85,0.0
87,0.02,83,0.0
88,0.0,87,0.0
89,1.41,79,1.0
90,0.0,77,0.0
91,0.16,82,0.0
138,0.56,85,0.0
139,0.19,83,0.0
140,0.0,77,0.0
141,0.0,77,0.0
142,1.63,86,0.0
143,0.48,61,1.0
190,0.76,85,0.0
191,0.26,79,0.0
192,0.22,82,0.0
193,0.0,87,0.0
194,0.33,75,0.0
195,1.86,69,1.0
242,0.7,75,1.0
243,0.0,81,0.0
244,0.31,78,0.0
245,0.01,74,0.0
246,0.0,88,0.0
247,0.0,78,0.0
294,0.12,82,0.0
295,0.5599999999999999,73,1.0
296,0.0,86,0.0
297,0.1,80,0.0
298,0.07,76,0.0
299,1.18,65,1.0
347,0.36,78,1.0
348,0.02,73,0.0
349,0.81,76,1.0
350,0.8300000000000001,69,1.0
351,0.02,71,0.0
352,0.01,63,0.0
399,0.0,87,0.0
400,0.0,86,0.0
401,0.0,77,0.0
402,1.11,69,1.0
403,0.19999999999999998,69,0.0
404,0.23,65,0.0
451,0.26,86,0.0
452,0.0,80,0.0
453,0.44,86,0.0
454,0.58,71,1.0
455,0.06999999999999999,70,0.0
456,1.33,67,1.0
503,0.0,80,0.0
504,0.0,77,0.0
505,0.12,79,0.0
506,0.02,84,0.0
507,0.12,83,0.0
508,0.5,76,1.0
555,0.0,87,0.0
556,0.28,77,0.0
557,0.03,86,0.0
558,0.53,75,1.0
559,0.81,68,1.0
560,0.05,69,0.0
607,0.0,75,0.0
608,0.51,78,1.0
609,1.11,77,1.0
610,0.0,73,0.0
611,2.26,72,1.0
612,1.23,66,1.0
660,1.1099999999999999,67,1.0
661,0.73,73,1.0
662,0.01,82,0.0
663,0.08,67,0.0
664,0.37,66,1.0
665,0.0,72,0.0
712,0.02,85,0.0
713,0.79,81,0.0
714,0.09,76,0.0
715,0.02,86,0.0
716,0.13,71,0.0
717,0.21,70,0.0
764,0.03,80,0.0
765,0.09,80,0.0
766,0.7200000000000001,84,0.0
767,0.45999999999999996,75,1.0
768,0.0,73,0.0
769,1.1300000000000001,74,1.0
816,0.4,72,1.0
817,0.04,80,0.0
818,0.0,89,0.0
819,0.47,78,1.0
820,0.08,77,0.0
821,0.0,80,0.0
868,0.2,85,0.0
869,0.24000000000000002,68,0.0
870,0.2,75,0.0
871,0.14,77,0.0
872,1.1400000000000001,73,1.0
873,0.16,71,0.0
921,0.02,74,0.0
922,0.0,81,0.0
923,0.1,78,0.0
924,0.35,69,1.0
925,0.04,78,0.0
926,0.44,71,1.0
973,0.39999999999999997,75,1.0
974,0.0,82,0.0
975,0.38,75,1.0
976,0.94,67,1.0
977,0.45,78,1.0
978,0.1,72,0.0
1025,0.0,95,0.0
1026,0.23,81,0.0
1027,0.55,79,1.0
1028,0.0,93,0.0
1029,0.0,79,0.0
1030,0.79,89,0.0
1077,2.44,74,1.0
1078,0.30000000000000004,79,0.0
1079,0.0,80,0.0
1080,0.6799999999999999,70,1.0
1081,1.11,66,1.0
1082,0.0,71,0.0
1129,0.03,81,0.0
1130,0.18,83,0.0
1131,0.01,85,0.0
1132,0.28,84,0.0
1133,3.92,67,1.0
1134,1.02,66,1.0
1181,0.0,85,0.0
1182,0.0,80,0.0
1183,1.13,67,1.0
1184,0.0,72,0.0
1185,1.06,71,1.0
1186,0.04,85,0.0
1234,0.02,81,0.0
1235,1.81,73,1.0
1236,0.12,71,0.0
1237,0.0,76,0.0
1238,0.99,76,1.0
1239,0.67,72,1.0
1286,0.04,85,0.0
1287,0.0,83,0.0
1288,0.43,66,1.0
1289,0.16,74,0.0
1290,3.4,57,1.0
1291,0.11,66,0.0
1338,0.0,75,0.0
1339,0.0,80,0.0
1340,0.12000000000000001,88,0.0
1341,0.05,78,0.0
1342,1.6400000000000001,66,1.0
1343,0.0,74,0.0
1390,0.0,82,0.0
1391,0.0,91,0.0
1392,0.21,77,0.0
1393,0.0,88,0.0
1394,0.0,88,0.0
1395,0.0,89,0.0
1442,0.6900000000000001,70,1.0
1443,1.96,78,1.0
1444,0.0,82,0.0
1445,0.0,85,0.0
1446,0.0,86,0.0
1447,0.0,75,0.0
1494,0.5800000000000001,74,1.0
1495,0.22999999999999998,78,0.0
1496,0.55,77,1.0
1497,0.03,80,0.0
1498,0.63,86,0.0
1499,0.04,77,0.0
1547,3.5500000000000003,69,1.0
1548,0.6799999999999999,75,1.0
1549,0.02,76,0.0
1550,0.44000000000000006,77,1.0
1551,0.94,64,1.0
1552,0.51,65,1.0
1599,0.49,79,1.0
1600,1.27,80,1.0
1601,1.05,69,1.0
1602,0.73,68,1.0
1603,2.79,69,1.0
1604,0.3,73,0.0
1651,0.28,78,0.0
1652,1.07,74,1.0
1653,1.0,80,1.0
1654,0.0,93,0.0
1655,0.0,77,0.0
1656,0.0,72,0.0
1703,0.0,78,0.0
1704,0.6200000000000001,71,1.0
1705,0.39,79,1.0
1706,0.26,78,0.0
1707,0.42000000000000004,77,1.0
1708,0.2,76,0.0
1755,0.0,87,0.0
1756,0.25,76,0.0
1757,0.05,94,0.0
1758,0.01,80,0.0
1759,1.39,89,0.0
1760,1.83,68,1.0
1808,0.22,88,0.0
1809,0.13,87,0.0
1810,0.73,74,1.0
1811,0.06,80,0.0
1812,0.27999999999999997,76,0.0
1813,0.41,64,1.0
1860,1.32,78,1.0
1861,0.8200000000000001,71,1.0
1862,0.64,71,1.0
1863,0.62,73,1.0
1864,0.06,77,0.0
1865,0.01,64,0.0
1912,0.09,84,0.0
1913,0.0,80,0.0
1914,0.36,72,1.0
1915,0.03,86,0.0
1916,0.6199999999999999,73,1.0
1917,0.0,76,0.0
1964,0.0,86,0.0
1965,0.08,76,0.0
1966,0.9,67,1.0
1967,0.72,69,1.0
1968,0.36,65,1.0
1969,0.0,76,0.0
2016,0.0,87,0.0
2017,0.1,91,0.0
2018,0.0,88,0.0
2019,0.16,73,0.0
2020,0.51,70,1.0
2021,1.2,63,1.0
2068,0.0,84,0.0
2069,0.0,92,0.0
2070,0.0,91,0.0
2071,0.52,80,1.0
2072,0.08,83,0.0
2073,0.31,82,0.0
2121,0.05,91,0.0
2122,0.0,98,0.0
2123,0.06,80,0.0
2124,0.38,84,0.0
2125,1.29,68,1.0
2126,0.02,78,0.0
2173,0.0,79,0.0
2174,0.02,77,0.0
2175,0.0,83,0.0
2176,0.24,85,0.0
2177,0.08,91,0.0
2178,0.2,74,0.0
2225,0.12,77,0.0
2226,0.48000000000000004,85,0.0
2227,0.01,81,0.0
2228,0.03,77,0.0
2229,0.0,92,0.0
2230,0.02,75,0.0
2277,0.0,86,0.0
2278,1.52,80,1.0
2279,0.0,85,0.0
2280,0.0,78,0.0
2281,0.0,85,0.0
2282,0.0,85,0.0
2329,0.0,79,0.0
2330,0.0,85,0.0
2331,0.08,78,0.0
2332,0.16,77,0.0
2333,0.12000000000000001,74,0.0
2334,0.79,78,1.0
2382,0.02,82,0.0
2383,0.0,84,0.0
2384,0.0,85,0.0
2385,0.03,75,0.0
2386,0.0,78,0.0
2387,0.0,81,0.0
2434,0.0,88,0.0
2435,0.66,79,1.0
2436,0.85,77,1.0
2437,0.18,81,0.0
2438,0.0,86,0.0
2439,0.01,78,0.0
2486,0.02,75,0.0
2487,0.26,82,0.0
2488,0.0,82,0.0
2489,0.0,83,0.0
2490,0.03,84,0.0
2491,1.05,69,1.0
2538,0.0,86,0.0
2539,0.08,89,0.0
2540,0.53,72,1.0
2541,0.77,77,1.0
2542,0.55,66,1.0
2543,0.0,75,0.0
2590,0.41000000000000003,82,0.0
2591,0.89,80,1.0
2592,0.0,82,0.0
2593,0.83,80,1.0
2594,1.58,80,1.0
2595,0.82,82,0.0
2642,0.01,81,0.0
2643,0.0,87,0.0
2644,0.0,86,0.0
2645,0.0,76,0.0
2646,0.16,77,0.0
2647,0.56,76,1.0
2695,0.09,79,0.0
2696,0.02,76,0.0
2697,0.0,87,0.0
2698,0.0,82,0.0
2699,0.15000000000000002,81,0.0
2700,0.0,70,0.0
2747,0.02,83,0.0
2748,0.09,69,0.0
2749,0.63,68,1.0
2750,0.01,84,0.0
2751,0.08,73,0.0
2752,0.36000000000000004,75,1.0
2799,2.1999999999999997,78,1.0
2800,0.06,77,0.0
2801,0.0,74,0.0
2802,0.02,77,0.0
2803,0.09,77,0.0
